"","Product","Sub.issue","Company"
"16002","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"16027","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"16072","Student loan","Keep getting calls about my loan","AES/PHEAA"
"16076","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"16144","Student loan","Trouble with how payments are handled","ACS Education Services"
"16201","Student loan","Trouble with how payments are handled","Sallie Mae"
"16229","Student loan","Need information about my balance/terms","Sallie Mae"
"16255","Student loan","Can't qualify for a loan","Sallie Mae"
"16278","Student loan","Can't temporarily postpone payments","Discover"
"16327","Student loan","Having problems with customer service","JPMorgan Chase & Co."
"16411","Student loan","Can't decrease my monthly payments","Citibank"
"16444","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"16454","Student loan","Can't get flexible payment options","Nelnet"
"16519","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"16592","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"16613","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"16641","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"16644","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"16654","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"16782","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"16812","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"16819","Student loan","Received bad information about my loan","Sallie Mae"
"16850","Student loan","Received bad information about my loan","Citibank"
